"title"	"auteur"	"pid"	"venue"	"volume"	"number"	"pages"	"year"	"key"	"type"	"doi"	"ee"	"url"
"Smart Phone based Cost Effective Visitor Management System for Smart Offices."	"    Santhosha Rao    Smitha A    Kunal Kulkarni"	"    202/9174    230/6193    230/6351"	"iJIM"	"12"	"6"	"112-123"	"2018"	"journals/ijim/RaoAK18"	"Journal Articles"	"/"	"http://www.online-journals.org/index.php/i-jim/article/view/9476"	"https://dblp.org/rec/journals/ijim/RaoAK18"
"Energy efficient VM scheduling and routing in multi-tenant cloud data center."	"    Sudarshan Chakravarthy A    Chapram Sudhakar    T. Ramesh"	"    246/8721    122/1776    30/10121"	"Sustain. Comput. Informatics Syst."	"22"	"/"	"139-151"	"2019"	"journals/suscom/ASR19"	"Journal Articles"	"10.1016/J.SUSCOM.2019.04.004"	"https://doi.org/10.1016/j.suscom.2019.04.004"	"https://dblp.org/rec/journals/suscom/ASR19"
"The Use of Biometric Fingerprints for On-the-Fly Digital Signing of Documents."	"    Shuchi Dhir    Sumithra Devi K. A"	"    255/6125    255/6055"	"IEEE Computer"	"53"	"2"	"57-67"	"2020"	"journals/computer/DhirA20"	"Journal Articles"	"10.1109/MC.2019.2939515"	"https://doi.org/10.1109/MC.2019.2939515"	"https://dblp.org/rec/journals/computer/DhirA20"
"Certificateless Digital Signature Technology for e-Governance Solutions."	"    Shuchi Dhir    Sumithra Devi K. A"	"    255/6125    255/6055"	"Computer Science"	"20"	"4"	"/"	"2019"	"journals/aghcs/DhirA19"	"Journal Articles"	"10.7494/CSCI.2019.20.4.3179"	"https://doi.org/10.7494/csci.2019.20.4.3179"	"https://dblp.org/rec/journals/aghcs/DhirA19"
"Low-Overhead WiFi Fingerprinting."	"    Jung-Hyun Jun    Liang He 0002    Yu Gu 0001    Wenchao Jiang    Gaurav Kushwaha    Vipin A    Long Cheng 0005    Cong Liu 0005    Ting Zhu"	"    94/2442    42/963-2    15/4208-1    55/7618    214/1130    214/1211    49/225-5    95/6404-5    42/5105"	"IEEE Trans. Mob. Comput."	"17"	"3"	"590-603"	"2018"	"journals/tmc/JunHGJKACLZ18"	"Journal Articles"	"10.1109/TMC.2017.2737426"	"https://doi.org/10.1109/TMC.2017.2737426"	"https://dblp.org/rec/journals/tmc/JunHGJKACLZ18"
"Total colorings of planar graphs with sparse triangles."	"    Jian Chang    Jian-Liang Wu    Yong-Ga A"	"    80/3338    16/5608    126/3365"	"Theor. Comput. Sci."	"526"	"/"	"120-129"	"2014"	"journals/tcs/ChangWA14"	"Journal Articles"	"10.1016/J.TCS.2014.01.022"	"https://doi.org/10.1016/j.tcs.2014.01.022"	"https://dblp.org/rec/journals/tcs/ChangWA14"
"Total colorings of planar graphs with maximum degree 8 and without 5-cycles with two chords."	"    Jian Chang    Huijuan Wang    Jian-Liang Wu    Yong-Ga A"	"    80/3338    77/3045    16/5608    126/3365"	"Theor. Comput. Sci."	"476"	"/"	"16-23"	"2013"	"journals/tcs/ChangWWA13"	"Journal Articles"	"10.1016/J.TCS.2013.01.015"	"https://doi.org/10.1016/j.tcs.2013.01.015"	"https://dblp.org/rec/journals/tcs/ChangWWA13"
"Construction of quality-assured infant feeding process of care data repositories - definition and design (Part 1)."	"    Ricardo Garcí    Carlos Sáez    Verónica Muñoz-Soler    Ricardo García-de-León-González    Juan M. García-Gómez a-de-León-González"	"    173/4096    70/960    177/8394    177/8492    173/4136"	"Comp. in Bio. and Med."	"67"	"/"	"95-103"	"2015"	"journals/cbm/Garciaa15"	"Journal Articles"	"10.1016/J.COMPBIOMED.2015.09.024"	"https://doi.org/10.1016/j.compbiomed.2015.09.024"	"https://dblp.org/rec/journals/cbm/Garciaa15"
"Gini index-based digital image complementing in the study of medical images."	"    Enoch A-iyeh    James F. Peters"	"    161/4383    12/6268"	"Intelligent Decision Technologies"	"9"	"2"	"209-218"	"2015"	"journals/idt/A-iyehP15"	"Journal Articles"	"10.3233/IDT-140217"	"https://doi.org/10.3233/IDT-140217"	"https://dblp.org/rec/journals/idt/A-iyehP15"
"The New Block Cipher - BC2."	"    Yusuf Kurniawan    Adang Suwandi A.    M. Sukrisno Mardiyanto    Iping Supriana    Sarwono Sutikno"	"    05/7513    06/7513    05/3656    30/10158    69/794"	"I. J. Network Security"	"8"	"1"	"16-24"	"2009"	"journals/ijnsec/KurniawanAMSS09"	"Journal Articles"	"/"	"http://ijns.femto.com.tw/contents/ijns-v8-n1/ijns-2009-v8-n1-p16-24.pdf"	"https://dblp.org/rec/journals/ijnsec/KurniawanAMSS09"
"Mathematical study of probe arrangement and nanoparticle injection effects on heat transfer during cryosurgery."	"    Seyyed Mostafa Mirkhalili    Ahmad Ramazani S. A.    Saeed Nazemidashtarjandi"	"    172/3044    71/11195    172/3237"	"Comp. in Bio. and Med."	"66"	"/"	"113-119"	"2015"	"journals/cbm/MirkhaliliAN15"	"Journal Articles"	"10.1016/J.COMPBIOMED.2015.09.001"	"https://doi.org/10.1016/j.compbiomed.2015.09.001"	"https://dblp.org/rec/journals/cbm/MirkhaliliAN15"
"Modeling and sensitivity analysis of styrene monomer production process and investigation of catalyst behavior."	"    Yousef Tamsilian    Ali Nejad Ebrahimi    Ahmad Ramazani S. A.    Himan Abdollahzadeh"	"    17/11196    04/11196    71/11195    61/11196"	"Computers &amp; Chemical Engineering"	"40"	"/"	"1-11"	"2012"	"journals/cce/TamsilianEAA12"	"Journal Articles"	"10.1016/J.COMPCHEMENG.2012.01.014"	"https://doi.org/10.1016/j.compchemeng.2012.01.014"	"https://dblp.org/rec/journals/cce/TamsilianEAA12"
"An efficient queries processing model based on Multi Broadcast Searchable Keywords Encryption (MBSKE)."	"    Belal Ali Al-Maytami    Pingzhi Fan    Abir Jaafar Hussain    Thar Baker    Panos Liatsis"	"    224/1788    f/PingzhiFan    34/4701    83/2178    69/3166"	"Ad Hoc Networks"	"98"	"/"	"/"	"2020"	"journals/adhoc/Al-MaytamiFHBL20"	"Journal Articles"	"10.1016/J.ADHOC.2019.102028"	"https://doi.org/10.1016/j.adhoc.2019.102028"	"https://dblp.org/rec/journals/adhoc/Al-MaytamiFHBL20"
"Experimental analysis of Android malware detection based on combinations of permissions and API-calls."	"    Abhishek Kumar Singh    C. D. Jaidhar    Ajay Kumara M. A."	"    139/0855    116/4768    174/4930"	"J. Computer Virology and Hacking Techniques"	"15"	"3"	"209-218"	"2019"	"journals/virology/SinghJA19"	"Journal Articles"	"10.1007/S11416-019-00332-Z"	"https://doi.org/10.1007/s11416-019-00332-z"	"https://dblp.org/rec/journals/virology/SinghJA19"
"Automated multi-level malware detection system based on reconstructed semantic view of executables using machine learning techniques at VMM."	"    Ajay Kumara M. A.    Jaidhar C. D."	"    174/4930    116/4768"	"Future Gener. Comput. Syst."	"79"	"/"	"431-446"	"2018"	"journals/fgcs/AD18"	"Journal Articles"	"10.1016/J.FUTURE.2017.06.002"	"https://doi.org/10.1016/j.future.2017.06.002"	"https://dblp.org/rec/journals/fgcs/AD18"
"Leveraging virtual machine introspection with memory forensics to detect and characterize unknown malware using machine learning techniques at hypervisor."	"    Ajay Kumara M. A.    Jaidhar C. D."	"    174/4930    116/4768"	"Digital Investigation"	"23"	"/"	"99-123"	"2017"	"journals/di/AD17"	"Journal Articles"	"10.1016/J.DIIN.2017.10.004"	"https://doi.org/10.1016/j.diin.2017.10.004"	"https://dblp.org/rec/journals/di/AD17"
"Guía metodológica para la implementación de políticas de control de acceso utilizando la plataforma de Cisco Network Admission Control (CNAC) en la Universidad Autónoma de Bucaramanga - UNAB."	"    Alexa M. Ramírez A.    José G. Hernández"	"    228/8977    201/9493"	"Revista Colombiana de Computación"	"18"	"1"	"46-60"	"2017"	"journals/rcc/AH17"	"Journal Articles"	"10.29375/25392115.3197"	"https://doi.org/10.29375/25392115.3197"	"https://dblp.org/rec/journals/rcc/AH17"
"Uso de un servicio web semántico para apoyar la gestión de la información aplicado a los procesos de selección de estudiantes en una institución de educación superior."	"    Alexander Guerrero A.    Sandra C. Sanguino"	"    201/9534    201/9495"	"Revista Colombiana de Computación"	"17"	"2"	"66-75"	"2016"	"journals/rcc/AS16"	"Journal Articles"	"10.29375/25392115.2533"	"https://doi.org/10.29375/25392115.2533"	"https://dblp.org/rec/journals/rcc/AS16"
